date,S1,S2,S3
2015/1/1,-13.31875,-10.984375,-10.984375
2015/1/2,-12.55125,-10.45166667,-10.45166667
2015/1/3,-12.40875,-10.08645833,-10.08645833
2015/1/4,-10.91645833,-9.240416667,-9.240416667
2015/1/5,-9.61625,-8.52,-8.52
2015/1/6,-9.336041667,-8.425625,-8.425625
2015/1/7,-9.839166667,-9.118541667,-9.118541667
2015/1/8,-10.399375,-9.864375,-9.864375
2015/1/9,-10.82729167,-10.34291667,-10.34291667
2015/1/10,-11.1225,-10.63520833,-10.63520833
2015/1/11,-11.263125,-10.731875,-10.731875
2015/1/12,-11.3075,-10.77020833,-10.77020833
2015/1/13,-11.13729167,-10.6725,-10.6725
2015/1/14,-11.031875,-10.585625,-10.585625
2015/1/15,-11.0325,-10.57229167,-10.57229167
2015/1/16,-11.40416667,-10.921875,-10.921875
2015/1/17,-10.84395833,-10.60791667,-10.60791667
2015/1/18,-11.465625,-11.32,-11.32
2015/1/19,-12.01333333,-12.09958333,-12.09958333
2015/1/20,-11.82875,-12.01916667,-12.01916667
2015/1/21,-11.875625,-11.95416667,-11.95416667
2015/1/22,-11.70958333,-11.66395833,-11.66395833
2015/1/23,-11.28729167,-11.14979167,-11.14979167
2015/1/24,-10.77208333,-10.616875,-10.616875
2015/1/25,-10.665625,-10.27770833,-10.27770833
2015/1/26,-10.63916667,-10.341875,-10.341875
2015/1/27,-10.10916667,-9.864583333,-9.864583333
2015/1/28,-9.6325,-9.467083333,-9.467083333
2015/1/29,-9.710625,-9.775625,-9.775625
2015/1/30,-10.46395833,-10.67541667,-10.67541667
2015/1/31,-10.59541667,-10.85333333,-10.85333333
2015/2/1,-10.72291667,-8.069816446,-8.069816446
2015/2/2,-10.65875,-8.000686322,-8.000686322
2015/2/3,-10.52833333,-7.378515206,-7.378515206
2015/2/4,-10.59270833,-9.314158678,-9.314158678
2015/2/5,-10.8025,-9.383288802,-9.383288802
2015/2/6,-10.13854167,-6.479823594,-6.479823594
2015/2/7,-10.52895833,-11.31893227,-11.31893227
2015/2/8,-11.036875,-11.18067203,-11.18067203
2015/2/9,-11.1575,-9.728939422,-9.728939422
2015/2/10,-10.79979167,-7.240254958,-7.240254958
2015/2/11,-10.67541667,-7.585905578,-7.585905578
2015/2/12,-10.36645833,-6.618083842,-6.618083842
2015/2/13,-10.39375,-7.378515206,-7.378515206
2015/2/14,-10.35895833,-7.240254958,-7.240254958
2015/2/15,-10.35,-7.171124834,-7.171124834
2015/2/16,-10.76708333,-7.931556198,-7.931556198
2015/2/17,-10.36958333,-4.958960866,-4.958960866
2015/2/18,-9.768333333,-2.470276402,-2.470276402
2015/2/19,-9.270833333,-3.714618634,-3.714618634
2015/2/20,-9.02375,-4.129399378,-4.129399378
2015/2/21,-9.915625,-6.272433222,-6.272433222
2015/2/22,-10.180625,-6.548953718,-6.548953718
2015/2/23,-9.691458333,-4.751570494,-4.751570494
2015/2/24,-8.623541667,-2.193755906,-2.193755906
2015/2/25,-9.399791667,-5.581131982,-5.581131982
2015/2/26,-9.6675,-5.166351238,-5.166351238
2015/2/27,-8.608125,-2.401146278,-2.401146278
2015/2/28,-8.533333333,-8.83024781,-8.83024781
2015/3/1,-8.969583333,-7.309385082,-7.309385082
2015/3/2,-8.819166667,-5.581131982,-5.581131982
2015/3/3,-8.695416667,-5.71939223,-5.71939223
2015/3/4,-6.6566875,-3.161577642,-3.161577642
2015/3/5,-6.970479167,-4.33678975,-4.33678975
2015/3/6,-7.108875,-4.267659626,-4.267659626
2015/3/7,-7.765875,-4.267659626,-4.267659626
2015/3/8,-8.101791667,-4.405919874,-4.405919874
2015/3/9,-8.101979167,-3.714618634,-3.714618634
2015/3/10,-6.140208333,-2.746796898,-2.746796898
2015/3/11,-6.138125,-2.193755906,-2.193755906
2015/3/12,-6.016145833,-1.295064294,-1.295064294
2015/3/13,-5.947916667,-1.018543798,-1.018543798
2015/3/14,-7.191583333,-2.332016154,-2.332016154
2015/3/15,-6.099833333,-0.88028355,-0.88028355
2015/3/16,-4.744291667,0.433188806,0.433188806
2015/3/17,-3.465729167,0.571449054,0.571449054
2015/3/18,-3.453229167,-1.91723541,-1.91723541
2015/3/19,-3.323208333,-1.156804046,-1.156804046
2015/3/20,-3.655791667,-2.055495658,-2.055495658
2015/3/21,-3.697416667,-1.848105286,-1.848105286
2015/3/22,-3.2200625,-2.193755906,-2.193755906
2015/3/23,-2.810979167,-3.438098138,-3.438098138
2015/3/24,-4.3363125,-3.29983789,-3.29983789
2015/3/25,-2.689958333,1.954051534,1.954051534
2015/3/26,-1.044583333,1.746661162,1.746661162
2015/3/27,-0.9795,0.917099674,0.917099674
2015/3/28,-0.808416667,2.852743146,2.852743146
2015/3/29,-0.436645833,3.61317451,3.61317451
2015/3/30,-0.245583333,3.95882513,3.95882513
2015/3/31,-0.1154375,4.926646866,4.926646866
2015/4/1,0.061145833,5.68707823,5.68707823
2015/4/2,0.482833333,4.719256494,4.719256494
2015/4/3,0.2203125,2.57622265,2.57622265
2015/4/4,0.104166667,0.917099674,0.917099674
2015/4/5,0.043666667,-0.258112434,-0.258112434
2015/4/6,-0.1344375,0.294928558,0.294928558
2015/4/7,-0.1964375,-1.087673922,-1.087673922
2015/4/8,-0.368416667,-0.7591875,-0.7591875
2015/4/9,-1.200645833,-0.8829375,-0.8829375
2015/4/10,-1.1364375,-0.969104167,-0.969104167
2015/4/11,-1.321875,-0.970270833,-0.970270833
2015/4/12,-1.158770833,-0.981958333,-0.981958333
2015/4/13,-0.419666667,-0.878791667,-0.878791667
2015/4/14,0.443604167,-0.724458333,-0.724458333
2015/4/15,1.518666667,-0.588541667,-0.588541667
2015/4/16,2.45825,-0.494,-0.494
2015/4/17,2.180625,-0.402958333,-0.402958333
2015/4/18,0.6644375,-0.333145833,-0.333145833
2015/4/19,1.319125,-0.2955,-0.2955
2015/4/20,0.957583333,-0.263291667,-0.263291667
2015/4/21,0.926458333,-0.239083333,-0.239083333
2015/4/22,1.858354167,-0.220229167,-0.220229167
2015/4/23,1.778833333,-0.186854167,-0.186854167
2015/4/24,2.296375,-0.155770833,-0.155770833
2015/4/25,2.564458333,-0.1279375,-0.1279375
2015/4/26,2.760541667,-0.104541667,-0.104541667
2015/4/27,4.3845,0.059520833,0.059520833
2015/4/28,6.279083333,0.571458333,0.571458333
2015/4/29,5.922104167,0.975979167,0.975979167
2015/4/30,4.701583333,0.909083333,0.909083333
2015/5/1,4.591416667,0.917541667,0.917541667
2015/5/2,3.459145833,1.234520833,1.234520833
2015/5/3,2.570208333,0.51175,0.51175
2015/5/4,2.873583333,0.6579375,0.6579375
2015/5/5,3.176770833,1.1480625,1.1480625
2015/5/6,2.5915625,0.8168125,0.8168125
2015/5/7,3.376520833,0.858270833,0.858270833
2015/5/8,3.634833333,1.4500625,1.4500625
2015/5/9,3.156854167,1.056416667,1.056416667
2015/5/10,3.533916667,1.2495,1.2495
2015/5/11,3.376770833,1.038916667,1.038916667
2015/5/12,5.500270833,1.668208333,1.668208333
2015/5/13,7.042208333,2.742520833,2.742520833
2015/5/14,7.783979167,3.068166667,3.068166667
2015/5/15,7.606833333,3.2841875,3.2841875
2015/5/16,7.583854167,3.061666667,3.061666667
2015/5/17,8.195395833,3.482625,3.482625
2015/5/18,8.5459375,3.771666667,3.771666667
2015/5/19,9.104604167,4.2203125,4.2203125
2015/5/20,5.819958333,3.838875,3.838875
2015/5/21,5.722979167,2.277145833,2.277145833
2015/5/22,7.8346875,2.832916667,2.832916667
2015/5/23,8.0723125,3.6965625,3.6965625
2015/5/24,8.195458333,4.451041667,4.451041667
2015/5/25,8.623604167,4.7303125,4.7303125
2015/5/26,8.479020833,5.074291667,5.074291667
2015/5/27,4.996104167,4.511866122,4.511866122
2015/5/28,2.404479167,4.719256494,4.719256494
2015/5/29,3.101083333,5.410557734,5.410557734
2015/5/30,5.302458333,6.240119222,6.240119222
2015/5/31,6.328854167,6.447509594,6.447509594
2015/6/1,6.5298125,6.309249346,6.309249346
2015/6/2,5.955229167,5.479687858,5.479687858
2015/6/3,4.4296875,4.580996246,4.580996246
2015/6/4,4.3790625,5.548817982,5.548817982
2015/6/5,5.187041667,5.894468602,5.894468602
2015/6/6,6.106041667,6.447509594,6.447509594
2015/6/7,6.5593125,7.277071082,7.277071082
2015/6/8,7.109083333,7.138810834,7.138810834
2015/6/9,7.366104167,7.553591578,7.553591578
2015/6/10,6.931041667,7.484461454,7.484461454
2015/6/11,7.977291667,6.862290338,6.862290338
2015/6/12,8.596270833,7.207940958,7.207940958
2015/6/13,6.767583333,5.410557734,5.410557734
2015/6/14,6.848395833,8.314022942,8.314022942
2015/6/15,8.536770833,8.037502446,8.037502446
2015/6/16,7.9738125,6.654899966,6.654899966
2015/6/17,6.837916667,7.553591578,7.553591578
2015/6/18,6.864583333,7.968372322,7.968372322
2015/6/19,6.034020833,5.134037238,5.134037238
2015/6/20,5.822354167,5.825338478,5.825338478
2015/6/21,7.249208333,6.585769842,6.585769842
2015/6/22,7.191520833,7.76098195,7.76098195
2015/6/23,7.2179375,8.383153066,8.383153066
2015/6/24,7.569833333,7.000550586,7.000550586
2015/6/25,8.692854167,8.521413314,8.521413314
2015/6/26,10.66747917,11.14835803,11.14835803
2015/6/27,10.07875,10.80270741,10.80270741
2015/6/28,9.214166667,10.59531703,10.59531703
2015/6/29,8.702875,8.867063934,8.867063934
2015/6/30,9.958125,10.73357728,10.73357728
2015/7/1,9.787708333,9.48923505,9.48923505
2015/7/2,8.26725,7.484461454,7.484461454
2015/7/3,8.5239375,8.590543438,8.590543438
2015/7/4,7.327458333,7.76098195,7.76098195
2015/7/5,8.044916667,8.79793381,8.79793381
2015/7/6,9.689166667,8.936194058,8.936194058
2015/7/7,8.351541667,7.553591578,7.553591578
2015/7/8,6.6803125,6.240119222,6.240119222
2015/7/9,8.01025,7.76098195,7.76098195
2015/7/10,10.7845,10.18053629,10.18053629
2015/7/11,11.83798693,11.0792279,11.0792279
2015/7/12,11.43327201,10.73357728,10.73357728
2015/7/13,9.247811444,8.867063934,8.867063934
2015/7/14,8.033666684,7.830112074,7.830112074
2015/7/15,6.010092084,6.101858974,6.101858974
2015/7/16,6.576692972,6.585769842,6.585769842
2015/7/17,5.362548212,5.548817982,5.548817982
2015/7/18,5.767263132,5.894468602,5.894468602
2015/7/19,8.033666684,7.830112074,7.830112074
2015/7/20,7.54800878,7.41533133,7.41533133
2015/7/21,9.57158338,9.14358443,9.14358443
2015/7/22,8.35743862,8.10663257,8.10663257
2015/7/23,9.004982492,8.659673562,8.659673562
2015/7/24,9.085925476,8.728803686,8.728803686
2015/7/25,10.4619562,9.904015794,9.904015794
2015/7/26,11.67610096,10.94096765,10.94096765
2015/7/27,11.83798693,11.0792279,11.0792279
2015/7/28,11.19044306,10.52618691,10.52618691
2015/7/29,13.37590363,12.39270026,12.39270026
2015/7/30,13.58020833,12.66922075,12.66922075
2015/7/31,12.69895833,11.70139902,11.70139902
2015/8/1,13.02604167,10.87183753,10.87183753
2015/8/2,11.86083333,9.627495298,9.627495298
2015/8/3,11.46541667,10.24966641,10.24966641
2015/8/4,11.10941667,9.005324182,9.005324182
2015/8/5,11.65583333,9.696625422,9.696625422
2015/8/6,11.0585625,8.867063934,8.867063934
2015/8/7,10.86520833,9.005324182,9.005324182
2015/8/8,10.93229167,9.420104926,9.420104926
2015/8/9,11.208375,9.48923505,9.48923505
2015/8/10,11.0816875,9.005324182,9.005324182
2015/8/11,12.92895833,10.45705679,10.45705679
2015/8/12,12.948125,11.44041667,11.44041667
2015/8/13,12.21791667,10.6725,10.6725
2015/8/14,12.13352083,10.48770833,10.48770833
2015/8/15,12.06375,10.95895833,10.95895833
2015/8/16,11.749375,10.68166667,10.68166667
2015/8/17,10.97425,10.05958333,10.05958333
2015/8/18,10.98485417,9.806041667,9.806041667
2015/8/19,10.3980625,9.69625,9.69625
2015/8/20,9.632833333,9.1575,9.1575
2015/8/21,9.5618125,8.805479167,8.805479167
2015/8/22,10.09197917,9.004791667,9.004791667
2015/8/23,10.42458333,8.9624375,8.9624375
2015/8/24,10.57960417,9.398958333,9.398958333
2015/8/25,10.422375,8.7108125,8.7108125
2015/8/26,10.4081875,9.125416667,9.125416667
2015/8/27,9.272875,8.723958333,8.723958333
2015/8/28,9.81125,8.137395833,8.137395833
2015/8/29,10.13583333,8.748416667,8.748416667
2015/8/30,8.615354167,8.122916667,8.122916667
2015/8/31,9.32525,8.264833333,8.264833333
2015/9/1,9.693770833,8.537083333,8.537083333
2015/9/2,9.1109375,8.415,8.415
2015/9/3,9.247833333,7.994395833,7.994395833
2015/9/4,8.915583333,7.774145833,7.774145833
2015/9/5,9.794270833,8.15625,8.15625
2015/9/6,9.733229167,8.920208333,8.920208333
2015/9/7,8.579333333,8.4571875,8.4571875
2015/9/8,7.543895833,7.4706875,7.4706875
2015/9/9,7.576708333,7.1295,7.1295
2015/9/10,7.697770833,6.957833333,6.957833333
2015/9/11,7.263625,6.918416667,6.918416667
2015/9/12,6.360583333,6.320375,6.320375
2015/9/13,6.24275,6.072,6.072
2015/9/14,7.3704375,6.60175,6.60175
2015/9/15,7.3675625,7.023875,7.023875
2015/9/16,7.4311875,7.079333333,7.079333333
2015/9/17,6.831708333,6.440625,6.440625
2015/9/18,7.681979167,6.6691875,6.6691875
2015/9/19,7.538979167,6.774770833,6.774770833
2015/9/20,7.797104167,6.882479167,6.882479167
2015/9/21,6.06875,6.769604167,6.769604167
2015/9/22,5.353166667,5.351479167,5.351479167
2015/9/23,5.276354167,5.561916667,5.561916667
2015/9/24,5.0999375,5.100104167,5.100104167
2015/9/25,4.872145833,4.973458333,4.973458333
2015/9/26,5.546166667,4.975333333,4.975333333
2015/9/27,5.503395833,5.260395833,5.260395833
2015/9/28,5.1503125,5.07975,5.07975
2015/9/29,5.857125,4.948354167,4.948354167
2015/9/30,5.947520833,5.618708333,5.618708333
2015/10/1,4.3735,4.691541667,4.691541667
2015/10/2,4.844645833,4.5495625,4.5495625
2015/10/3,4.7471875,4.586333333,4.586333333
2015/10/4,4.078541667,4.2089375,4.2089375
2015/10/5,3.7888125,3.909979167,3.909979167
2015/10/6,5.033833333,4.107895833,4.107895833
2015/10/7,4.7009375,4.536833333,4.536833333
2015/10/8,3.886104167,3.965895833,3.965895833
2015/10/9,3.399270833,3.592395833,3.592395833
2015/10/10,3.234104167,3.280520833,3.280520833
2015/10/11,3.339145833,3.302208333,3.302208333
2015/10/12,3.384583333,3.295125,3.295125
2015/10/13,2.011270833,2.779875,2.779875
2015/10/14,2.1276875,2.279708333,2.279708333
2015/10/15,2.8548125,2.475416667,2.475416667
2015/10/16,2.7344375,2.790333333,2.790333333
2015/10/17,2.842854167,2.589,2.589
2015/10/18,3.085083333,2.8485,2.8485
2015/10/19,3.5064375,3.040291667,3.040291667
2015/10/20,3.2935625,3.115354167,3.115354167
2015/10/21,4.003604167,3.23575,3.23575
2015/10/22,2.610486756,3.748541667,3.748541667
2015/10/23,2.367657804,3.342729167,3.342729167
2015/10/24,2.28671482,2.926875,2.926875
2015/10/25,0.991627076,2.60325,2.60325
2015/10/26,-2.246092284,1.940895833,1.940895833
2015/10/27,-1.841377364,1.284020833,1.284020833
2015/10/28,-0.870061556,0.908645833,0.908645833
2015/10/29,-1.598548412,0.729729167,0.729729167
2015/10/30,-2.650807204,0.624333333,0.624333333
2015/10/31,-9.126245924,0.482625,0.482625
2015/11/1,-4.431552852,0.259333333,0.259333333
2015/11/2,-1.274776476,0.12125,0.12125
2015/11/3,0.505969172,0.0574375,0.0574375
2015/11/4,-0.54628962,0.036541667,0.036541667
2015/11/5,-0.627232604,0.026854167,0.026854167
2015/11/6,0.991627076,0.016354167,0.016354167
2015/11/7,-1.193833492,0.008645833,0.008645833
2015/11/8,-3.78400898,-0.0109375,-0.0109375
2015/11/9,-3.37929406,-0.0844375,-0.0844375
2015/11/10,-3.298351076,-0.1454375,-0.1454375
2015/11/11,-3.703065996,-0.209708333,-0.209708333
2015/11/12,-3.945894948,-0.3244375,-0.3244375
2015/11/13,-2.97457914,-0.4575,-0.4575
2015/11/14,-1.922320348,-0.520333333,-0.520333333
2015/11/15,-3.055522124,-0.537354167,-0.537354167
2015/11/16,-4.512495836,-0.776770833,-0.776770833
2015/11/17,-0.54628962,-0.825416667,-0.825416667
2015/11/18,-0.060631716,-0.877020833,-0.877020833
2015/11/19,1.153513044,-0.917791667,-0.917791667
2015/11/20,-0.54628962,-0.934583333,-0.934583333
2015/11/21,-2.084206316,-0.9271875,-0.9271875
2015/11/22,-1.841377364,-0.931791667,-0.931791667
2015/11/23,-3.703065996,-1.072625,-1.072625
2015/11/24,-5.240982692,-1.286208333,-1.286208333
2015/11/25,-3.864951964,-1.796166667,-1.796166667
2015/11/26,-7.102671324,-2.170416667,-2.170416667
2015/11/27,-7.42644326,-2.505020833,-2.505020833
2015/11/28,-6.940785356,-2.78625,-2.78625
2015/11/29,-6.697956404,-2.9914375,-2.9914375
2015/11/30,-5.160039708,-3.033354167,-3.033354167
2015/12/1,-5.321925676,-3.0351875,-3.0351875
2015/12/2,-7.912101164,-3.685333333,-3.685333333
2015/12/3,-7.8129375,-4.075479167,-4.075479167
2015/12/4,-7.808104167,-4.240708333,-4.240708333
2015/12/5,-7.713,-4.255625,-4.255625
2015/12/6,-7.272479167,-4.234770833,-4.234770833
2015/12/7,-7.269270833,-4.309854167,-4.309854167
2015/12/8,-6.686479167,-4.0253125,-4.0253125
2015/12/9,-6.898854167,-4.196395833,-4.196395833
2015/12/10,-7.578104167,-4.664208333,-4.664208333
2015/12/11,-7.661625,-4.822583333,-4.822583333
2015/12/12,-6.738416667,-4.438604167,-4.438604167
2015/12/13,-7.708895833,-4.742,-4.742
2015/12/14,-10.62395833,-6.358541667,-6.358541667
2015/12/15,-12.36916667,-7.653333333,-7.653333333
2015/12/16,-13.27625,-8.480854167,-8.480854167
2015/12/17,-13.633125,-8.964166667,-8.964166667
2015/12/18,-13.90541667,-9.302083333,-9.302083333
2015/12/19,-14.33125,-9.690625,-9.690625
2015/12/20,-14.40125,-9.95625,-9.95625
2015/12/21,-13.81145833,-9.747708333,-9.747708333
2015/12/22,-12.935625,-9.385833333,-9.385833333
2015/12/23,-12.515625,-9.083333333,-9.083333333
2015/12/24,-13.45791667,-9.676458333,-9.676458333
2015/12/25,-13.57645833,-10.1,-10.1
2015/12/26,-13.744375,-10.30583333,-10.30583333
2015/12/27,-13.31208333,-10.274375,-10.274375
2015/12/28,-12.6525,-9.994166667,-9.994166667
2015/12/29,-12.6025,-9.967708333,-9.967708333
2015/12/30,-12.67291667,-10.034375,-10.034375
2015/12/31,-12.785625,-10.14458333,-10.14458333
2016/1/1,-12.51791667,-10.13166667,-10.13166667
2016/1/2,-11.30395833,-9.515833333,-9.515833333
2016/1/3,-10.61083333,-8.8825,-8.8825
2016/1/4,-10.90625,-9.040833333,-9.040833333
2016/1/5,-11.58875,-9.441041667,-9.441041667
2016/1/6,-11.76229167,-9.6525,-9.6525
2016/1/7,-11.84625,-9.715416667,-9.715416667
2016/1/8,-12.051875,-9.882083333,-9.882083333
2016/1/9,-11.923125,-9.868333333,-9.868333333
2016/1/10,-12.2275,-9.99875,-9.99875
2016/1/11,-12.17520833,-10.049375,-10.049375
2016/1/12,-13.24895833,-10.60729167,-10.60729167
2016/1/13,-14.3375,-11.3275,-11.3275
2016/1/14,-14.8175,-11.70458333,-11.70458333
2016/1/15,-14.33833333,-11.63479167,-11.63479167
2016/1/16,-14.059375,-11.458125,-11.458125
2016/1/17,-12.25354167,-10.70458333,-10.70458333
2016/1/18,-11.97541667,-10.37979167,-10.37979167
2016/1/19,-11.97854167,-10.21479167,-10.21479167
2016/1/20,-12.38645833,-10.49020833,-10.49020833
2016/1/21,-13.75333333,-11.27416667,-11.27416667
2016/1/22,-14.86979167,-12.04375,-12.04375
2016/1/23,-16.43375,-13.19916667,-13.19916667
2016/1/24,-16.71354167,-13.71479167,-13.71479167
2016/1/25,-16.48645833,-13.63854167,-13.63854167
2016/1/26,-16.36083333,-13.69270833,-13.69270833
2016/1/27,-14.869375,-12.9725,-12.9725
2016/1/28,-14.1275,-12.505,-12.505
2016/1/29,-13.23166667,-11.95916667,-11.95916667
2016/1/30,-12.66291667,-11.44395833,-11.44395833
2016/1/31,-11.66708333,-10.930625,-10.930625
2016/2/1,-10.66625,-10.04041667,-10.04041667
2016/2/2,-11.565625,-10.38541667,-10.38541667
2016/2/3,-11.5625,-10.27979167,-10.27979167
2016/2/4,-11.92020833,-10.54125,-10.54125
2016/2/5,-12.31458333,-10.834375,-10.834375
2016/2/6,-11.54645833,-10.52541667,-10.52541667
2016/2/7,-10.8930625,-10.16791667,-10.16791667
2016/2/8,-10.45277083,-9.748125,-9.748125
2016/2/9,-9.7525625,-9.251833333,-9.251833333
2016/2/10,-9.166166667,-8.7621875,-8.7621875
2016/2/11,-8.714104167,-8.412791667,-8.412791667
2016/2/12,-7.692166667,-7.733125,-7.733125
2016/2/13,-8.676104167,-7.874645833,-7.874645833
2016/2/14,-11.74083333,-9.603541667,-9.603541667
2016/2/15,-12.82229167,-10.40291667,-10.40291667
2016/2/16,-12.973125,-10.45416667,-10.45416667
2016/2/17,-12.370625,-9.965625,-9.965625
2016/2/18,-11.90604167,-9.925625,-9.925625
2016/2/19,-12.31354167,-10.27875,-10.27875
2016/2/20,-12.14833333,-10.6225,-10.6225
2016/2/21,-9.697958333,-9.273125,-9.273125
2016/2/22,-9.863479167,-9.115,-9.115
2016/2/23,-9.924375,-9.123958333,-9.123958333
2016/2/24,-9.955708333,-9.1845625,-9.1845625
2016/2/25,-9.328770833,-8.790333333,-8.790333333
2016/2/26,-8.58925,-8.3573125,-8.3573125
2016/2/27,-7.492208333,-7.598229167,-7.598229167
2016/2/28,-6.754895833,-7.0758125,-7.0758125
2016/2/29,-6.148541667,-6.564333333,-6.564333333
2016/3/1,-5.695770833,-6.066729167,-6.066729167
2016/3/2,-6.359666667,-6.3743125,-6.3743125
2016/3/3,-5.8595,-5.959416667,-5.959416667
